pageid,naam,geboortedatum,geboorteplaats,overlijdensdatum,overlijdensplaats,beroep,bekend_van,periode_actief,werkt_samen_met,trivia,tekstuele_informatie
36657,Han_Bentz_van_den_Berg,1917-10-12,Blaricum,1976-07-03,Drachten,"regisseur, acteur","Ahasverus en de Nazarener, De pioniers van Tolpuddle, Hokus Pokus, dat kan ik ook, Van oude mensen, de dingen die voorbij gaan, De verdwenen personages van Han Bentz van den Berg",1952 - 1976,,,
35529,Lily_van_den_Bergh,1938-06-26,Scheveningen,2018-12-29,Amsterdam,"documentairemaker, omroeper, journalist, acteur","Uit het leven van een vroedvrouw, Het omgekeerde perspectief, Opstand in Sobibor, Kunt u mij 60 zagen en 12 naaimachines sturen?",,"Milo Anstadt, Carry Tefsen, Nikolai van der Heyde, Jaap van de Merwe, Jan Nagel",,
39486,Jos_Bergman,1940-04-24,Haarlem,,,"acteur, schilder","Floris, The little ark",1966 - 1972,,,
8143,Sunny_Bergman,1972-10-19,Amsterdam,,,"acteur, regisseur","Beperkt houdbaar, Waskracht, Goede tijden slechte tijden",1987 - heden,Myrthe Hilkens,,
46424,Marjan_Berk,1932-07-11,Zeist,,,"tekstschrijver, acteur","Vrouwenvleugel, De winkel, De fa, iek, Oebele",1960-heden,,,Vanaf de jaren 60 is Marjan Berk te bewonderen op de Nederlandse televisie met de presentatie van het zondagmiddagprogramma Monitor.  Haar eerste grote rol als actrice op televisie is die van Geesje Zoet in de populaire kinderserie Oebele.  Andere bekende rollen zijn die van mevrouw Grijpstra in Grijpstra en De Gier en Leentje in De Fabriek.  Berk is ook actief als scenarioschrijver.  Het meeste succes heeft ze met de dramaserie Vrouwenvleugel.  Andere series waarvoor ze het scenario schrijft zijn de zesdelige jeugdserie De band en de opvolger van Vrouwenvleugel bij RTL
829,Yoka_Berretty,1928-05-08,Rotterdam,2015-11-28,Rijswijk,acteur,"Yoka, Zo is het toevallig ook nog s een keer, Hadimassa",1955-2003,"Jef de Groot, Mies Bouwman, Dimitri Frenkel Frank, Wim T. Schippers",,"Yoka Berretty is een actrice en zangeres die vooral in de jaren zestig in films, theater en op televisie te zien is.

Na de middelbare school volgt Yoka Beretty een acteursopleiding in New York bij de Actors Studio, in Parijs (Théatre de Poche, Marcel Marceau en Etienne Decroux) en in Rome. Als actrice wijst ze ooit Fellini af wanneer de beroemde filmregisseur haar vraagt om een straatmadelief in een van zijn films te spelen: “Ik was zo ontzettend op m’n pik getrapt” zegt ze in 1994 in het programma Radio Uit. 1. Op de planken

In het seizoen 1956/57 begint haar Nederlandse theatercarrière bij de Nederlandse Comedie. Vervolgens werkt ze bij toneelwerkgroep Test, Ensemble, Centrum, Studio, Nederlandse Comedie, Amsterdams Volkstoneel en Theaterunie. Ook speelt Berretty in een aantal vrije producties. Ze is eveneens actief als cabaretière bij Cabaret Warmondain en het cabaret van Jelle de Vries (1958/59).
 2. Vries (1958/59).


Televisie, radio en film

Berretty is begin jaren zestig veelvuldig als actrice te zien op de Nederlandse televisie. Ze speelt onder meer rollen in: Onder het melkwoud, Een wereld niet op maat gemaakt, De grasharp en Pygmalion en Galathea. Ook op de radio is te horen, zo werkt Berretty met andere cabaretières mee aan Vrij entree, een door Henk Elsink gepresenteerd programma ter gelegenheid van veertig jaar AVRO.

Als zangeres valt ze te bewonderen in de serie Yoka (AVRO). Onder regie van Jef de Groot zingt ze liedjes van de Amerikaan Noel Coward. In oktober 1959 is ze een van de actrices bij de beroemde psycho-magier Chan Canasta. Yoka’s grootste bekendheid ontleent ze echter aan haar deelname aan het veelbesproken programma Zo is het toevallig ook nog 's een keer. In dit actueel satirische tv-programma zingt Yoka Berretty onder meer de titelsong. Berretty is ook betrokken bij de geruchtmakende VARA-serie Hadimassa. In de jaren zestig is ze te zien in enkele grote speelfilms als Makkers staakt uw wild geraas van Fons Rademakers en De overval van Paul Rotha.

Ook in de jaren zeventig komt haar naam nog regelmatig langs op de titelrol. Zo is ze onder andere te zien in een aflevering van Waaldrecht en speelt ze een rol in de eenakter Stemmen, het debuut van Wim T. Schippers als toneelschrijver. Met Schippers werkt ze in 1991 weer samen in de serie We zijn weer thuis.

In de loop van de jaren zeventig is ze echter steeds minder te zien, In een interview in Radioweekblad (1972) legt ze uit waarom ze nog maar sporadisch werkt: “Ik vind deze tijd een ramp. Moeilijk om rustige sfeer te creëren. Ben zeer behoudend geworden.” Na een misgelopen huwelijk met Dominique Berretty trouwt ze met de uitgever Andreas Landshoff. Hij is de zoon van de Duitse filmactrice Ruth Helberg.

In de jaren tachtig speelt Berretty weer in een aantal films, zoals Charlotte van Frans Weisz in 1981 en de thriller De Prooi van Vivian Pieters in 1985. Ze werkt ook samen met Theo van Gogh in Eva (1994), Au! (1998) en In het belang van de staat (1997). Ze blijft lange tijd actief, zo speelt ze een gastrol in de serie Baantjer (2000) en is ze te zien in de korte film Anderland (2003)."
11251,Charlotte_Besijn,1962-07-25,Rotterdam,,,acteur,Goede tijden slechte tijden,1999 - heden,"Wilbert Gieske, Bartho Braat, Aukje van Ginneken, Lieke van Lexmond",,Nadat Charlotte Besijn het Lyceum afrondt doet ze auditie aan de Dansacademie.  Ze wordt toegelaten maar omdat de docenten haar prestaties niet goed genoeg vinden moet ze de academie verlaten.  Ze probeert het twee jaar later nog eens bij verschillende dansopleidingen maar omdat ze te oud wordt bevonden en te weinig techniek heeft wordt ze nergens aangenomen.  Uiteindelijk besluit ze een docentenopleiding aan de Hogeschool voor de Kunsten in Arnhem te volgen die ze ook afrondt. Via een stage komt Besijn terecht bij het balletgezelschap Introdans.  Hier danst ze tien jaar lang tot ze om medische redenen moet stoppen.  Ze besluit zich op acteren te storten en volgt privélessen bij Hajo Bruins en volgt een opleiding aan de Amsterdamse theatershool De Trap.  Enkele jaren speelt ze in het theater en heeft ze gastrollen in Oppassen!!! en Goudkust.  In 1998 wordt haar gevraagd auditie te doen voor een rol in Goede tijden slechte tijden (GTST).  Ze wordt gecast en vanaf 1999 kruipt ze in de huid van het personage Barbara Fisher.  In 2010 vertolkt ze de rol voor het laatst.  Vanaf dan gaat Besijn zich bij GTST toeleggen op spelregie en het coachen van acteurs.
65670,Anneke_Beukman,1968-09-17,Haarlem,,,"zangeres, acteur",SamSam,1991-heden,,,
38512,Marjolein_Beumer,1966-10-27,Amstelveen,,,"scenarioschrijver, acteur","De geheime dienst, Negen dagen van de gier, Trauma 24/7, De vlinder tilt de kat op, Bezet",,,,
45,Wim_de_Bie,1939-05-17,Den Haag,,,"cabaretier, acteur","Hadimassa, Het Simplisties Verbond, Van Kooten en de Bie, Keek op de Week",1960-heden,"Kees van Kooten, Maud Keus, Arjen van der Grijn, Roel Bazen",,
31951,Ronny_Bierman,1938-07-12,Amsterdam,1984-02-03,Amsterdam,"acteur, zanger","t Schaep met de 5 pooten, Citroentje met suiker, Het meisje met de blauwe hoed, Hotel de botel, Kanaal 13",1968 - 1983,,,
831,Martine_Bijl,1948-03-19,Amsterdam,2019-05-30,Maarssen,"acteur, zanger, schrijfster","Martine, Wie van de drie, HAK (reclame), Het zonnetje in huis, Kees , Co, Heel Holland Bakt",1965-2019,"Henk van der Molen, Johnny Kraaykamp sr, Johnny Kraaykamp jr",,"Martine Bijl is zangeres, actrice en tekstschrijfster. Met haar regelmatige verschijningen op televisie sinds de jaren zestig verwerft ze landelijke bekendheid. Ze is jarenlang panellid in Wie van de drie, maakt vele televisieshows en treedt met een theaterprogramma op in het land. Haar optredens in de reclamespotjes voor conservenfabriek Hak zijn legendarisch. Bijl schrijft liedjes. kinderboeken en een boek over De Efteling. Later legt ze zich toe op het vertalen en bewerken van comedy’s, zoals Het zonnetje in huis, Jansen, Jansen en musicals.

Wanneer Bijl eenmaal heeft bewezen dat ze iets kan, herhaalt ze zichzelf niet. Van het boeien van een schouwburg met 500 man publiek tot een televisiequiz: na een paar keer vindt ze het wel genoeg en stort ze zich op een volgende uitdaging. Ze blijkt een uitstekend taalgevoel te hebben en weet dat te gebruiken in het vertalen en bewerken van televisiescripts, waarin ze dan soms ook nog een hoofdrol heeft. Bijl wil geen theatershows meer maken en wil niets meer weten van haar oude grammofoonplaten. ‘Wanneer iemand die thuis heeft en aan mij wil opsturen, daar zeg ik tegen: nee dank u.” 1. ZANGERES VAN HET LUISTERLIED
Bijl doorloopt het Spinoza-lyceum en zingt liedjes op feestavonden waarbij zij zichzelf op de gitaar begeleid. Haar koosnaam is Pientje. Ze wordt op zeventienjarige leeftijd ontdekt door Ben Levi, destijds een autoriteit op het gebied van Franse chansons. De grammofoonplaat De makelaar van Schagen wordt haar eerste grote hit. Later maakt ze platen op het label Iramac van Willem Duys. In juli 1966 doet Bijl mee aan het Songfestival in Knokke, samen met Margie Ball, Karin Kent, Janneke Peper en Ronnie Tober, onder leiding van Lou van Rees.

Bijl is aldus begonnen als één van de eerste zangeressen van het ‘luisterlied’ in Nederland. Nauwelijks van school komt ze terecht in de wereld van glamour en show. Ze is het toonbeeld van het lieve blonde meisje dat zo schattig kan zingen. Het duurt een aantal jaren eer ze zich daarvan kan losmaken. 2. OP TELEVISIE, HET WITTE DOEK EN IN HET THEATER
In november 1965 maakt Martine haar tv-debuut in Cabaretkroniek. Na het winnen van de Edison in 1968 is ze veel gevraagd op televisie, voornamelijk als zangeres. Ze legt zich echter steeds meer toe op acteren. In 1974 speelt ze een rol in de speelfilm Help, de dokter verzuipt onder regie van Nicolai van der Heyde. Daarna is ze in verschillende films te zien, als laatste in de hitfilm Alles is familie(2012).

In 1975 krijgt ze een serie eigen televisieshows, Martine, waarin ze zelf zingt en gasten ontvangt. In 1978 gaat een aflevering van de televisieshow Martine als Nederlandse inzending naar het televisiefestival in Montreux. Gasten daarin zijn Frida Boccara en Johnny Kraaykamp.

Los van haar eigen programma's is Bijl in de loop der jaren een populair panellid in spelprogramma's. In de jaren zeventig is ze vrijwel wekelijks te zien als panellid in het populaire spelletje Wie van de drie. Later volgt Babbelonië (1981). Vanaf 1986 presenteert ze zelf Dinges.

Een heel andere kant van Bijl zien we in de Engelse taalcursus Follow me! waarin ze samen met de Britse acteur Arthur Löwe (Dad’s army – Daar komen de schutters) scènes speelt.

In 1984 brengt Bijl haar eerste theatershow waarvoor ze prompt de Scheveningen Cabaretprijs krijgt. Een jaar later is de show op de televisie te zien, in het vervolg worden al haar theatershows op televisie uitgezonden. In 1990 viert ze haar 25-jarig jubileum op de planken.

Vanaf 1996 presenteert ze vier seizoenen het radioprogramma Andermans veren met daarin cabaretfragmenten rondom een bepaald thema.

In 2013 maakt ze een succesvolle comeback op televisie met de presentatie van het programma Heel Holland bakt. 3. SCHRIJFSTER
Bijl gaat steeds meer zelf schrijven en beroemd wordt haar creatie als roddeljournaliste Agnes de Boer. Intussen publiceert ze een aantal boeken, waaronder Elfje Twaalfje en een boek over De Efteling met Anton Pieck. Haar vriendschap met schilder en illustrator Anton Pieck blijkt uit het feit dat ze hem toespreekt ter gelegenheid van de herdruk van de sprookjes van Grimm die Pieck heeft geïllustreerd. In de jaren 70 bewerkt ze de sprookjes van Hans Christiaan Andersen, als serie losse verhalen op magazineformaat, die verzameld kon worden in een band*. Ook is ze producer van een serie grammofoonplaten met verhalen van Walt Disney.

In de jaren negentig gaat ze meer vertalen en schrijven, de sitcom Het zonnetje in huis waarin ze ook één van de hoofdrollen speelt, is een groot succes. RTL4 neemt de serie later over en wordt dan geschreven door Harm Edens en Ger Apeldoorn. Bijl schrijft ook voor toneel, bijvoorbeeld in 1996 het toneelstuk Walters hemel, dat wisselende kritieken krijgt.

Voor de VARA vertaalt en bewerkt Martine een van oorsprong Zweedse serie (Svenson & Svenson) tot Jansen, Jansen over het dagelijks leven van een jong gezin in een Almeerse nieuwbouwwijk en de komische serie Kees & Co. Verder vertaalt en bewerkt ze tekenfilms, zoals Pinokkio en de groots opgezette musicals 42nd Street, Aïda en The Lion King.
Op 3 juni 2019 wordt bekend dat Martine Bijl op 30 mei 2019 is overleden op 71-jarige leeftijd na complicaties van een hersenbloeding die haar vier jaar eerder trof. Over haar ervaringen met de ziekte schrijft ze in 2018 het boek Rinkeldekink. 4. DISCOGRAFIE
Martine Bijl heeft tientallen grammofoonplaten gemaakt, zowel singles, als langspeelplaten, terwijl ze ook veel voorkomt op verzamelalbums."
32389,Jaap_Binnerts,1937-04-22,Den Haag,2004-04-19,Hilversum,"decorontwerper, acteur","Twien, De Stratemakeropzeeshow, Mata Hari, De bezetting (1989), Vreemde praktijken, De kleine waarheid",1966 - 1991,"Jan Keja, Hub Berkers, Adine van den Bosch, Frans Boelen, Hub Berkers",,"Jaap Binnerts volgt na de HBS twee jaar lessen aan de Haagse kunstacademie, zit een jaar op de Toneelschool en studeert nog twee jaar scenografie aan de Academie in Dusseldorf, waar hij les krijgt van onder andere Joseph Beuys en lessen volgt in scenografie. In de jaren zestig werkt hij als vrij kunstenaar, hij exposeert met schilderijen en poppen.

Op 1 april 1966 treedt hij in dienst van de Afdeling Decorontwerp van de NTS. Omdat er in Nederland dan nog geen opleiding scenografie bestaat, is hij de eerste gediplomeerde ontwerper op de afdeling. Zijn voorkeur gaat uit naar theaterbewerkingen en dramaproducties, daar kan hij zich door zijn acteeropleiding goed in inleven. Hij figureert een paar keer in de producties waarvoor hij decors ontwerpt, maar dat vind hij eigenlijk vreselijk.

Binnerts werkt vaak samen met regisseurs Frans Boelen en Jan Keja. Hij heeft veel samengewerkt met Hub Berkers en later assisteerde Adine van den Bosch hem regelmatig bij grotere producties en series. Op 1 september 1991 verlaat hij de afdeling.

Het archief van Binnerts is via zijn weduwe Anneke Hoog Antink in 2014 overgegaan naar Beeld en Geluid. Het archief van Binnerst bevat decortekeningen en enkele maquettes en props. Via de galleries in de rechter kolom in de Oeuvrelijst is het beeldmateriaal uit zijn archief te zien."
31894,Jan_Blaaser,1922-07-17,Amsterdam,1988-03-28,Lelystad,"cabaretier, schrijver, acteur","De witte valk, Swiebertje, Pleisterkade 17, Keetje Tippel, Kunt u mij de weg naar Hamelen vertellen, mijnheer?, Babbelonië",1955 - 1988,"Willy Alberti, Willeke Alberti, Tonny Eyk, Fred Kaps",,"Jan Blaaser is, naast het uitstapje als showmaster in Jan en alleman, in de eerste plaats acteur.  Hij speelt 700 keer in Potasch , Perlemoer, speelt bij het toneelgezelschap Puck en tapt moppen in het cabaret van Tom Manders (Dorus)."
13201,Rosmarie_Blaauboer,1952-08-12,Wieringermeerpolder,,,acteur,"Goede tijden slechte tijden, Dat is nooit mijn naam geweest",1984-heden,Antonie Kamerling,,
9537,Alexandra_Blaauw,1962-09-13,Voorburg,,,acteur,"Onderweg naar morgen, Ik ben je moeder niet..., Het glazen huis",1971-heden,"Bert Kuizenga, Jop Joris, Elsje de WIjn",,
832,Karin_Bloemen,1960-06-28,Alkmaar,,,"zanger, acteur","Spijkers met koppen, theatergroep Purper, De nachtshow, La Bloemen, Ook dat nog!",1984-heden,,* De Pisuisse-prijs (1983).* Pall Mall Exportprijs (1984).* Edison (1995).* Annie M.G. Schmidtprijs (1997).* De Society Award (2004).,Karin Bloemen is één van de meest veelzijdige vrouwelijke artiesten van ons land. Vooral haar zangstem en haar feilloze taalgevoel  vallen op. Ondanks dat haar gewicht haar soms enigszins parten speelt& kan ze voortreffelijk dansen. Bloemen vindt dat ze alles kan tot het tegendeel is bewezen. Vandaar haar rollen in speelfilms en televisieseries& haar radiowerk en natuurlijk de one-man-shows waarmee ze telkens weer volle zalen trekt. Zoals de titel van één van haar albums luidt is Karin Bloemen een kameleon& die iedere keer weer verrast.Bloemen doorloopt met gemak het Atheneum
12838,Anneke_Blok,1959-12-24,Rheden,,,acteur,"De co-assistent, Verder dan de maan, Kracht",1989 - heden,"Pollo de Pimentel, Maria Peters",,
833,Hetty_Blok,1920-01-06,Arnhem,2012-11-07,Amsterdam,"cabaretier, acteur","De toverspiegel, De Familie Doorsnee, Ja zuster, nee zuster",1951-2004,"Annie M.G. Schmidt, Harry Bannink, Wim Ibo, Wim Sonneveld, Conny Stuart, Wim T. Schippers",‘Dat wil ik later ook…’. Van haar ouders mag ze niet naar de toneelschool en het wordt Instituut Schoevers waar ze een jaar zit,
12878,Marnie_Blok,1962-05-23,Den Haag,,,"scenarioschrijver, acteur","Zwijnen, Cowboy uit Iran, Polonaise",1989-heden,"Nicole van Kilsdonk, Frank Ketelaar, Ilse Somers",,
